event_id,expert_id,event_name,event_timestamp,event_properties
evt_vla1c0ndo7f,exp_bf33dvrui,signup,2024-10-31 11:51:36,
evt_5hoar80gug,exp_kabmmuymd,signup,2024-04-01 06:29:39,
evt_ues4t3ozle,exp_kabmmuymd,profile_started,2024-04-01 12:29:39,
evt_ptoykdu2m5,exp_kabmmuymd,profile_completed,2024-04-02 00:29:39,
evt_anq4ldfe1ji,exp_kabmmuymd,verification_submitted,2024-04-02 15:29:39,
evt_povmy03lqx,exp_kabmmuymd,verification_approved,2024-04-04 06:29:39,
evt_sspk7qd8at,exp_kabmmuymd,first_engagement_completed,2024-05-04 06:29:39,
evt_1wcx8g0hti5,exp_rl200hbsb,signup,2024-11-06 03:56:02,
evt_3fb1k3ik8og,exp_rl200hbsb,profile_started,2024-11-07 00:56:02,
evt_s5fct0xt2u,exp_rl200hbsb,profile_completed,2024-11-07 21:56:02,
evt_pup0kv0frgc,exp_rl200hbsb,verification_submitted,2024-11-08 06:56:02,
evt_1dpkmoxthxe,exp_rl200hbsb,verification_approved,2024-11-10 02:56:02,
evt_pziakrligte,exp_8n2kajakp,signup,2024-10-05 11:01:08,
evt_jc9iydsgst,exp_8n2kajakp,profile_started,2024-10-05 12:01:08,
evt_k02hl12n7xr,exp_8n2kajakp,profile_completed,2024-10-08 03:01:08,
evt_0xmqykoi3gvl,exp_8n2kajakp,verification_submitted,2024-10-08 16:01:08,
evt_bq73dat8y2p,exp_8n2kajakp,verification_approved,2024-10-09 23:01:08,
evt_93tss2ayw3p,exp_8n2kajakp,first_engagement_completed,2024-11-23 00:01:08,
evt_kc69bp7oo6,exp_mkx2nu3kp,signup,2024-10-11 01:43:17,
evt_576mkvlaeeg,exp_34hbj4ueh,signup,2024-08-15 15:40:29,
evt_auxe9dtbk24,exp_34hbj4ueh,profile_started,2024-08-16 03:40:29,
evt_u1ecrs4lcy,exp_34hbj4ueh,profile_completed,2024-08-16 09:40:29,
evt_1resld2asum,exp_34hbj4ueh,verification_submitted,2024-08-16 14:40:29,
evt_4j0fidcqxi,exp_34hbj4ueh,verification_approved,2024-08-18 10:40:29,
evt_9lfmzwnbd1g,exp_agjjt86sd,signup,2024-04-20 13:21:10,
evt_5739emua3iv,exp_agjjt86sd,profile_started,2024-04-22 04:21:10,
evt_a88pdj0o7v8,exp_agjjt86sd,profile_completed,2024-04-24 03:21:10,
evt_tvj6dia4d0g,exp_agjjt86sd,verification_submitted,2024-04-24 14:21:10,
evt_267ou3rccks,exp_agjjt86sd,verification_approved,2024-04-27 06:21:10,
evt_agyqxam154h,exp_227oii0bs,signup,2024-02-08 13:42:23,
evt_mcckg16v7z,exp_227oii0bs,profile_started,2024-02-09 03:42:23,
evt_578cxnk09yo,exp_5rhkvj98p,signup,2024-09-30 04:11:42,
evt_sblogwrns5f,exp_5rhkvj98p,profile_started,2024-10-01 04:11:42,
evt_idjhkunmvm,exp_be7czz3r9,signup,2024-09-30 03:47:42,
evt_4rvvpk4nfkl,exp_be7czz3r9,profile_started,2024-10-01 18:47:42,
evt_gk9rgwlgh4m,exp_htgkte19t,signup,2024-04-07 06:19:26,
evt_cvflava3xp9,exp_n9xpz7v3z,signup,2024-11-03 07:20:25,
evt_9whhgfysm19,exp_n9xpz7v3z,profile_started,2024-11-04 01:20:25,
evt_xpd9uf5h1qe,exp_9w3gcsye1,signup,2024-11-26 02:52:02,
evt_3zf6rk0yipj,exp_9w3gcsye1,profile_started,2024-11-26 19:52:02,
evt_dsgc3ezyzme,exp_9w3gcsye1,profile_completed,2024-11-28 07:52:02,
evt_dsx3zmn27n,exp_9w3gcsye1,verification_submitted,2024-11-29 00:52:02,
evt_etmv3idjg5e,exp_9w3gcsye1,verification_approved,2024-12-01 10:52:02,
evt_zt5sspiyj4,exp_9w3gcsye1,first_engagement_completed,2024-12-30 10:52:02,
evt_ea90g5ae92e,exp_54bxzdrsn,signup,2024-12-05 17:03:51,
evt_k2q2i9gv7za,exp_l3ii977ll,signup,2024-07-21 03:33:47,
evt_kys4ofdh7x,exp_3cb8ljp2e,signup,2024-01-25 16:15:25,
evt_zazoejr45wo,exp_3cb8ljp2e,profile_started,2024-01-27 06:15:25,
evt_i12vr6rhiy,exp_3cb8ljp2e,profile_completed,2024-01-27 16:15:25,
evt_3uttnxh73e1,exp_7cfb6iwk3,signup,2024-06-22 13:37:45,
evt_guecfbv003m,exp_bfbsust7z,signup,2024-04-18 11:15:39,
evt_9e290un1ikm,exp_bfbsust7z,profile_started,2024-04-19 16:15:39,
evt_gdn4tvd5ekg,exp_bfbsust7z,profile_completed,2024-04-19 23:15:39,
evt_6pp33h9b925,exp_bfbsust7z,verification_submitted,2024-04-20 19:15:39,
evt_n5w3iksyxpg,exp_bfbsust7z,verification_approved,2024-04-22 05:15:39,
evt_b7kyemv01ft,exp_bfbsust7z,first_engagement_completed,2024-05-16 05:15:39,
evt_2l7pxhr6pql,exp_h4z82ydhh,signup,2024-12-12 19:53:49,
evt_5gxvyscjuh4,exp_h4z82ydhh,profile_started,2024-12-13 15:53:49,
evt_mm54qm86b3,exp_h4z82ydhh,profile_completed,2024-12-14 03:53:49,
evt_9b7yqv9341u,exp_h4z82ydhh,verification_submitted,2024-12-14 17:53:49,
evt_myfumrzadnn,exp_h4z82ydhh,verification_approved,2024-12-17 06:53:49,
evt_em5ylqu35mq,exp_ayf6wbeek,signup,2024-07-15 08:10:54,
evt_glosnrrotta,exp_ayf6wbeek,profile_started,2024-07-15 19:10:54,
evt_zund6yqjiec,exp_ayf6wbeek,profile_completed,2024-07-17 07:10:54,
evt_h6tkrfw45f,exp_ayf6wbeek,verification_submitted,2024-07-18 02:10:54,
evt_ny3pzz2xam,exp_ayf6wbeek,verification_approved,2024-07-21 01:10:54,
evt_uubo66jrsir,exp_gnwb1qnzk,signup,2024-05-27 08:46:10,
evt_pg64zmbzvvc,exp_gnwb1qnzk,profile_started,2024-05-28 00:46:10,
evt_6wyeoaf4l3x,exp_gnwb1qnzk,profile_completed,2024-05-29 00:46:10,
evt_cfmtebvz2hs,exp_gnwb1qnzk,verification_submitted,2024-05-29 15:46:10,
evt_cdirn6f2md,exp_gnwb1qnzk,verification_approved,2024-05-30 16:46:10,
evt_7hr2pn3in5b,exp_gnwb1qnzk,first_engagement_completed,2024-06-19 16:46:10,
evt_uwq3ooypxm,exp_92tkljjoj,signup,2024-04-08 12:00:12,
evt_8ansag9x8hx,exp_92tkljjoj,profile_started,2024-04-09 04:00:12,
